,Year,Area.Code,TA Title,Region Title,Regional Industry GDP-Annual Total,Business Demography-Annual Total Enterprise Count,Business Demography-Annual Total Employee Count,Household-Average Income,Property-Regional Median Home Price Index,Property-New Building Consents,Property-New Dwelling Units Consents,Property-New Commercial Buildings Consents,Population Estimation - Total,Population Estimation - 0-14 Yrs Old,Population Estimation - 15-39 Yrs Old,Population Estimation - 40-64 Yrs Old,Population Estimation - 65 Yrs Old and over,Property-Total Affiliation,Housing-Average Number of Active Bonds,Housing-Average Median Rent,Employment-Average Filled Jobs,Income-Average Total Earnings Millions,Business Demography-ANZSIC_Ind A_Enterprise Count,Business Demography-ANZSIC_Ind B_Enterprise Count,Business Demography-ANZSIC_Ind C_Enterprise Count,Business Demography-ANZSIC_Ind D_Enterprise Count,Business Demography-ANZSIC_Ind E_Enterprise Count,Business Demography-ANZSIC_Ind F_Enterprise Count,Business Demography-ANZSIC_Ind G_Enterprise Count,Business Demography-ANZSIC_Ind H_Enterprise Count,Business Demography-ANZSIC_Ind I_Enterprise Count,Business Demography-ANZSIC_Ind J_Enterprise Count,Business Demography-ANZSIC_Ind K_Enterprise Count,Business Demography-ANZSIC_Ind L_Enterprise Count,Business Demography-ANZSIC_Ind M_Enterprise Count,Business Demography-ANZSIC_Ind N_Enterprise Count,Business Demography-ANZSIC_Ind O_Enterprise Count,Business Demography-ANZSIC_Ind P_Enterprise Count,Business Demography-ANZSIC_Ind Q_Enterprise Count,Business Demography-ANZSIC_Ind R_Enterprise Count,Business Demography-ANZSIC_Ind S_Enterprise Count,Business Demography-ANZSIC_Ind A_Employee Count,Business Demography-ANZSIC_Ind B_Employee Count,Business Demography-ANZSIC_Ind C_Employee Count,Business Demography-ANZSIC_Ind D_Employee Count,Business Demography-ANZSIC_Ind E_Employee Count,Business Demography-ANZSIC_Ind F_Employee Count,Business Demography-ANZSIC_Ind G_Employee Count,Business Demography-ANZSIC_Ind H_Employee Count,Business Demography-ANZSIC_Ind I_Employee Count,Business Demography-ANZSIC_Ind J_Employee Count,Business Demography-ANZSIC_Ind K_Employee Count,Business Demography-ANZSIC_Ind L_Employee Count,Business Demography-ANZSIC_Ind M_Employee Count,Business Demography-ANZSIC_Ind N_Employee Count,Business Demography-ANZSIC_Ind O_Employee Count,Business Demography-ANZSIC_Ind P_Employee Count,Business Demography-ANZSIC_Ind Q_Employee Count,Business Demography-ANZSIC_Ind R_Employee Count,Business Demography-ANZSIC_Ind S_Employee Count,Local Authority Financial Stat- Total Government Spending,Local Authority Financial Stat- Total Govnerment Investment,Population-Population Projection 2023 Onward,Economy Activities - Annual_Actual_Retail_Sales_Values (million dollars),Regional Industry GDP-Wholesale Trade,"Regional Industry GDP-Transport, Postal And Warehousing",Regional Industry GDP-Retail Trade,"Regional Industry GDP-Rental, Hiring And Real Estate Services",Regional Industry GDP-Public Administration And Safety,"Regional Industry GDP-Professional, Scientific And Technical Services",Regional Industry GDP-Owner Occupied Property Operation,Regional Industry GDP-Manufacturing,"Regional Industry GDP-Information Media, Telecommunications And Other Services",Regional Industry GDP-Health Care And Social Assistance,"Regional Industry GDP-GST On Production, Import Duties and Other Taxes","Regional Industry GDP-Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Regional Industry GDP-Food And Beverage Services,Regional Industry GDP-Financial And Insurance Services,Regional Industry GDP-Education And Training,Regional Industry GDP-Construction,Regional Industry GDP-Agriculture,Regional Industry GDP-Administrative And Support Services,Regional Industry GDP-Accommodation,Economy Activities - GDP per capita (dollars),Tourism-Total International Visits,Regional Economic Statistics-Population Weighted Average Deprivation Index,Employment-Annual Average Unemployment Rate,Employment-Annual Average Employment Rate,
1131,2007,T051,51,Tasman District,1237.32,6342,18775,32940,383565.6667,501,278,11,46200,9700,12800,17200,6500,NA,1396.75,265.25,NA,NA,2112,15,315,24,726,159,336,273,168,21,111,996,348,141,33,90,141,108,225,5100,45,2500,80,1250,450,2050,1500,470,80,200,230,610,810,240,1350,880,410,520,62905,69403,NA,NA,29.19,41.35,65.76,76.57,16.69,61.93,105.49,184.72,47.18,29.22,89.4,118.83,15.84,21.16,33.79,87.55,180.59,21.42,10.64,26781.86,91288,NA,NA,NA,
1132,2007,T052,52,Nelson City,1868.68,5436,24573,51952,371318.25,445,373,15,44700,8400,14100,15600,6600,NA,3166.75,270.4166667,NA,NA,324,3,357,21,645,222,444,276,210,36,234,1059,564,171,48,105,309,123,285,980,3,3250,40,1450,980,3000,2050,1250,560,370,350,1400,1050,860,1500,4100,330,1050,55565,21323,NA,NA,59.81,140.65,106.24,124.43,51.31,121.07,176.51,256.28,95.82,165.78,149.6,110.17,27.16,39.84,73.21,107.45,5.41,42.58,15.36,41804.88,213054,NA,NA,NA,
1133,2007,T053,53,Marlborough District,1707,6924,22310,58375,377946.8333,662,487,11,43800,8000,12600,15900,7300,NA,2076.75,266.25,NA,NA,2346,3,393,33,678,162,336,318,258,24,159,1128,315,141,48,90,174,102,216,4450,50,3700,170,1750,470,2300,1900,810,310,240,390,570,580,1150,1050,1650,280,490,63407,20628,NA,NA,35,75,83,114,59,48,149,289,54,75,131,167,24,26,41,122,176,17,22,38972.6,189815,NA,NA,NA,
1134,2007,T054,54,Kaikoura District,103.44,774,1727,45369.12786,398629.3333,76,52,0,3730,680,1080,1400,570,NA,160.6363636,228.6363636,NA,NA,231,3,18,3,93,6,39,96,21,6,12,123,18,21,9,15,12,24,24,200,0,100,21,110,50,210,490,170,25,15,18,3,30,35,100,80,35,35,5706,4383,NA,NA,3.3,8.74,7.08,5.5,2.63,0.41,7.53,8.69,4.57,4.38,7.68,8.22,4.23,1.78,4.41,6.38,12.55,0.67,4.69,27733.51,161198,NA,NA,NA,
1135,2007,T055,55,Buller District,349.24,1143,4046,47825,188618.5833,163,79,4,10050,1900,2700,3850,1600,NA,385,172.5833333,NA,NA,366,24,42,9,99,21,84,111,39,9,24,111,39,18,21,27,33,27,39,470,530,380,40,290,60,450,540,180,40,40,21,130,60,110,280,300,70,55,14425,2673,NA,NA,3.75,15.7,12.56,9.55,8.16,7.41,19.92,36.76,7.97,12.38,23.59,86.22,4.6,3.43,10.42,19.07,58.19,1.78,7.78,34750.85,108263,NA,NA,NA,
1136,2007,T056,56,Grey District,562.37,1494,6708,58236,220848.8333,159,107,4,13600,2850,4100,4750,1900,NA,441.75,200.0833333,NA,NA,324,30,72,6,156,54,126,99,69,9,33,171,72,30,30,42,57,30,84,380,160,710,3,620,210,790,580,310,110,80,65,330,160,300,490,1100,80,230,18138,2125,NA,NA,13.09,24.05,30.07,28.89,21.08,16.32,39.04,50.95,21.65,45.71,46.23,83.7,4.86,11.46,26.59,52.46,31.69,5.22,9.31,41349.19,133340,NA,NA,NA,
1137,2007,T057,57,Westland District,258.4,1269,3776,54632,224904.25,132,80,4,8630,1600,2690,3240,1100,NA,246,190.9166667,NA,NA,420,12,87,12,108,18,63,141,36,6,24,144,39,27,18,21,27,30,36,380,25,510,9,250,55,380,990,110,12,40,30,70,160,65,230,170,190,100,13043,9508,NA,NA,3.15,5.21,11.33,13.51,4.73,2.25,16.97,42.18,16.35,6.86,20.1,11.93,7.52,3.1,9.95,16.39,38.01,6.99,21.87,29907.99,369787,NA,NA,NA,
1138,2007,T058,58,Hurunui District,284.64,2448,4192,54942.65384,289806.0833,230,132,4,10850,2250,2900,4100,1600,NA,325,224.1666667,NA,NA,1254,6,72,6,138,42,63,117,30,3,42,372,63,45,21,33,39,42,60,1700,3,490,40,130,60,190,560,75,18,6,50,70,50,65,250,230,120,85,21343,6872,NA,NA,6.23,5.42,5.57,10.73,3.56,4.7,16.83,9.49,12.14,6.65,17.17,41.59,6.97,3.08,8.91,7.78,110.4,2.1,5.32,26354.35,78464,NA,NA,NA,
1139,2007,T059,59,Waimakariri District,723.33,5607,9957,45601.93101,307943.5833,819,562,6,45000,9900,12400,16300,6400,NA,1306.5,275.0833333,NA,NA,2040,0,240,30,708,171,255,114,156,12,129,798,279,159,24,72,111,93,216,1100,12,1050,75,1200,430,1550,840,290,60,100,180,360,230,240,920,690,200,430,41480,1195,NA,NA,21.09,18.37,55.72,54.3,14.44,21.5,52.16,81.17,35.62,24.41,53.22,61.17,12.98,10.93,40.28,84.2,72.78,7.59,1.4,16038.58,NA,NA,NA,NA,
1140,2007,T060,60,Christchurch City,15634.6,37461,191120,64269.44308,369458,2658,2381,81,365600,68000,133200,114900,49500,NA,25816,280.8333333,NA,NA,1329,27,2370,81,4059,2334,3252,1671,1404,300,2127,7392,4041,1452,273,720,1884,741,2004,1450,160,28800,960,12400,11000,21100,14300,9800,4600,4600,3450,13100,10500,7500,14200,22600,3600,7000,353610,1388692,NA,NA,808.86,824.1,807.75,1176.13,465.74,1120.24,1203.3,2163.06,1203.68,1089.09,1227.67,499.18,213.03,638.67,692.18,936.58,86.3,344.81,134.23,42764.25,845493,NA,NA,NA,
1141,2007,T062,62,Selwyn District,905.25,5202,11875,61027,351128.3333,1090,740,17,36600,8200,12000,13000,3400,NA,584.75,333.1666667,NA,NA,2415,6,174,12,411,123,129,99,150,12,111,804,222,87,36,69,87,120,135,2850,12,970,25,810,150,560,590,380,18,40,110,840,150,2300,1400,340,160,170,35739,102074,NA,NA,12.53,23.65,14.21,18.56,113.75,82,67.79,62.55,20.78,14.07,69.16,35.81,6.87,4.49,75.04,47.45,221.5,6.3,8.74,24666.32,25724,NA,NA,NA,
1142,2007,T063,63,Ashburton District,1086.05,4584,13718,54958,262370,542,309,12,28600,5800,8600,9500,4700,NA,900,227.8333333,NA,NA,1881,6,165,12,318,126,198,138,117,15,198,816,135,78,30,57,72,90,132,2850,18,2900,130,820,680,1450,810,430,220,210,160,400,340,250,560,960,180,350,28014,0,NA,NA,42.8,27.65,55.17,41.35,14.54,26.54,72.76,210.41,40.76,40.43,74.23,96.95,13.76,26.36,24.93,55.03,210.58,10.43,1.37,37974.02,43985,NA,NA,NA,
1143,2007,T064,64,Timaru District,1509.69,5196,20500,57553,235960.25,365,184,15,43900,8300,12100,15400,8100,NA,1766.25,190.25,NA,NA,1341,9,285,18,462,201,408,210,171,18,246,870,207,117,48,84,180,93,228,1650,20,4200,150,1500,770,2550,1100,1150,460,350,210,600,630,580,1300,2450,240,590,52187,15892,NA,NA,53.55,88.09,87.86,72.13,35.05,40.22,113.26,318.87,66.57,104.22,115.56,80.49,16.37,41.72,55.23,102.21,94.36,18.68,5.25,34310.95,69081,NA,NA,NA,
1144,2007,T065,65,Mackenzie District,142.4,828,1843,47378.85691,253508.0833,100,62,4,3950,760,1180,1490,520,NA,122.5714286,155.7142857,NA,NA,342,0,12,9,48,9,33,78,24,3,9,135,24,18,12,12,12,27,21,400,0,55,65,95,6,120,620,75,6,9,21,21,65,30,110,30,80,35,7969,9453,NA,NA,0.89,3.74,3.14,4.29,2.1,1.63,8.06,2.05,8.34,0.79,8.23,44.01,3.73,0.79,4.92,6.66,22.29,2.19,14.55,36050.89,187854,NA,NA,NA,
1145,2007,T066,66,Waimate District,158.13,1212,2159,44727.77077,167428,98,36,1,7430,1500,1790,2670,1470,NA,125.5714286,158.5714286,NA,NA,702,0,36,0,57,18,30,27,15,0,15,192,21,9,12,15,18,15,30,980,0,160,3,140,30,120,80,80,9,15,30,95,9,40,190,110,18,50,9270,9213,NA,NA,1.94,4.56,4.12,6.88,2.46,5.92,10.03,9.21,4.5,3.47,10.23,14.98,1.09,2.37,7.46,10.41,57.5,0.23,0.77,21281.83,6554,NA,NA,NA,
1146,2007,T067,67,Chatham Islands Territory,NA,195,317,NA,0,9,1,1,640,140,220,220,60,NA,NA,NA,NA,NA,105,0,9,3,6,3,6,9,3,0,3,24,3,3,3,3,3,0,9,90,0,40,3,6,0,12,25,35,0,3,0,6,9,12,21,15,25,15,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1147,2007,T068,68,Waitaki District,712.97,2859,9405,51804,211505.5,211,114,4,20700,3800,5100,7600,4200,NA,685.25,179.3333333,NA,NA,1062,9,90,12,246,66,183,141,75,12,72,480,69,42,27,48,75,48,102,1150,290,2200,25,640,230,970,860,260,130,100,100,210,260,210,660,790,120,200,31105,4148,NA,NA,14.02,13.99,32.93,27.9,11.93,15.37,49.65,125.26,23.75,25.57,49.16,136.11,10.42,10.88,27.55,46.49,77.52,6.49,7.98,34442.46,88236,NA,NA,NA,
1148,2007,T069,69,Central Otago District,676.3,3102,9937,54023,298899,393,279,14,17400,3150,4600,6550,3100,NA,720,253.75,NA,NA,987,6,117,12,354,84,174,138,81,15,99,507,135,75,30,39,72,72,105,3100,12,640,95,1050,300,1000,630,300,40,110,140,310,610,180,430,680,120,190,24755,0,NA,NA,18.12,23.86,31.68,35.69,10.82,26.16,47.89,31.09,19.01,22.53,45.53,90.28,8.79,11.11,20.51,95.15,118.86,13.27,5.95,38979.08,24965,NA,NA,NA,
1149,2007,T070,70,Queenstown-Lakes District,1206.67,5787,15360,65576,655497.5,712,602,16,25300,4200,11000,7900,2200,NA,2426.75,333.1666667,NA,NA,345,12,174,15,1011,108,357,471,189,99,324,1374,483,246,33,51,120,213,162,470,0,470,50,1800,170,2100,4400,670,250,270,460,790,1100,180,450,360,980,390,54803,101488,NA,NA,10.34,60.31,89,162.52,12.96,62.76,90.57,28.16,129.54,16.09,86.12,32.14,54.96,32.04,22.1,148.04,28,35.43,105.59,47507.09,635860,NA,NA,NA,
1150,2007,T071,71,Dunedin City,4506.18,10752,57100,47928.46996,280505.0833,547,416,21,122000,20100,48500,37000,16400,NA,8916,233.3333333,NA,NA,1023,15,516,27,1065,438,843,573,438,102,648,1971,891,306,129,252,654,276,585,890,100,6100,380,3150,2150,6300,5000,1950,1450,1100,680,2800,3200,2550,7800,8100,1350,2050,160220,208614,NA,NA,123.7,177.22,249.27,251.93,173.02,262.51,385.31,438.75,280.6,390.5,366.37,282.58,71.22,144.65,455.04,253.93,53.44,104.11,42.03,36966.12,304821,NA,NA,NA,
1151,2007,T072,72,Clutha District,607.38,3144,8568,43923,166811.75,168,73,1,17250,3850,5000,6000,2400,NA,444,150.75,NA,NA,1659,6,54,3,171,51,132,87,57,9,63,516,51,33,36,51,48,39,78,3000,30,1900,18,550,110,640,350,270,30,60,40,200,30,150,600,400,30,160,27156,94,NA,NA,6.56,21.24,18.47,11.02,9.98,13.98,44.79,130.04,11.07,14.74,42.59,72.48,3.57,6.09,26.43,49.66,118.86,1.68,4.13,35311.98,22174,NA,NA,NA,
1152,2007,T073,73,Southland District,1275.04,6897,15065,48544.34919,202255.25,357,132,5,29100,6400,9000,10200,3500,NA,495.25,154.8333333,NA,NA,3900,9,123,6,294,63,135,198,132,12,150,1320,102,60,54,78,51,84,126,5600,110,3700,30,450,130,660,1450,1050,35,40,80,210,40,140,620,310,180,230,49183,5943,NA,NA,7.08,92.03,19.04,35.18,10.86,18,57.48,262.07,21.97,8.92,83.4,134.19,10.29,3.59,28.95,30.74,428.07,1.85,21.33,43665.72,289968,NA,NA,NA,
1153,2007,T074,74,Gore District,438.73,1851,6651,46681.76079,162351,100,51,0,12300,2550,3450,4200,2100,NA,592.75,136.4166667,NA,NA,732,0,60,6,105,66,114,45,45,9,51,333,45,21,21,27,45,36,90,1100,30,1700,21,340,250,820,340,250,40,120,55,170,100,140,330,570,55,220,13252,124,NA,NA,16.52,14.78,29.07,8.03,9.38,9.88,24.67,105.33,13.93,18.84,35.79,32.69,4.31,10.21,13.41,24.37,62.97,2,2.55,35669.76,18392,NA,NA,NA,
1154,2007,T075,75,Invercargill City,1923.24,4779,25445,51836.02064,197443.25,360,246,17,51600,10400,17000,16700,7500,NA,3206.75,178,NA,NA,528,9,288,15,516,213,435,198,192,18,309,789,240,129,60,111,267,135,327,610,15,3750,130,1850,1150,3300,1750,1100,610,650,370,1350,780,1250,1800,3450,480,1050,59542,63025,NA,NA,70.42,66.24,122.94,125.84,79.79,96.16,110.9,286.78,103.14,155.29,160.88,191.22,26.41,70.23,71.68,133.94,17.1,23.15,11.13,37199.69,82604,NA,NA,NA,
1155,2007,T076,76,Auckland,62253.99,157773,633180,78711,526773.9167,7131,6183,179,1390300,302100,525700,424300,138200,NA,92963,340,NA,NA,5574,93,8472,327,17727,9456,11577,5448,5556,2460,11406,31101,22257,6720,849,2538,6015,3096,7101,6300,380,82500,3700,36900,53500,63300,38600,32000,19600,24300,10700,61200,40200,25100,51800,51500,10400,21200,863285,17949598.91,NA,NA,4929.92,2821.95,2996.95,4845.92,1599.97,5526.91,4180.93,8202.87,5322.91,3027.95,4784.92,1264.98,778.99,4217.93,2629.96,3177.95,165,1520.98,257,44774.17,1459082,NA,NA,NA,
1156,2007,T999,999,Area Outside Territorial Authority,NA,3,3,NA,NA,0,0,0,170,10,60,80,20,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1157,2008,T001,1,Far North District,1555.73,7959,19560,50051,383221.5833,457,284,19,58500,13600,15700,20700,8500,NA,2203.75,231.6666667,NA,NA,2463,12,279,24,945,135,435,444,243,39,204,1254,381,159,78,204,195,156,309,2100,100,1550,330,1400,300,2550,2350,760,160,220,420,650,600,950,2150,2050,330,590,98395,12000,NA,NA,17.84,58.22,88.67,116.55,61.35,49.32,142.5,144.3,45.23,88.94,115.34,111.35,24.6,21.49,85.73,101.87,214.63,25.14,42.66,26593.95,236592,NA,NA,NA,
1158,2008,T002,2,Whangarei District,2924.46,9657,31090,56867,377413,689,539,21,78800,17400,23000,26300,12100,NA,4391.75,276.25,NA,NA,2064,21,465,24,1242,294,561,315,336,45,486,1770,615,225,84,183,393,141,393,1400,60,3800,410,2750,1150,4000,2000,1100,300,570,520,1950,1000,1500,2500,4400,530,1150,116847,67454,NA,NA,86.82,109.9,159.02,187.74,102.51,165.07,285.27,490.33,94.57,250.9,230.91,117.58,33.8,67.31,109.5,225,153.87,43.42,10.94,37112.46,78725,NA,NA,NA,
1159,2008,T003,3,Kaipara District,524.81,3468,5580,54912,360162.1667,328,173,2,19050,4200,4950,6900,3000,NA,667,211.6666667,NA,NA,1509,6,117,6,324,60,159,99,81,9,66,633,99,42,21,48,57,33,99,1400,70,830,35,330,300,630,390,110,35,55,75,130,90,140,450,290,100,120,32510,41,NA,NA,14.36,8.92,20.37,34.77,8.18,8.65,39.32,93.51,10.23,13.23,31.83,40.13,4.62,6.22,20.81,22.2,143.6,1.45,2.41,27620.63,20891,NA,NA,NA,
1160,2008,T011,11,Thames-Coromandel District,749.82,4350,10365,40566,538632.6667,439,332,12,26700,4600,6100,10100,5900,NA,1431.25,244.8333333,NA,NA,702,3,210,15,714,75,333,318,123,24,153,834,213,117,51,72,132,87,174,460,35,1350,120,880,220,1800,1350,590,100,140,230,240,170,340,740,1050,240,310,58669,294,NA,NA,19.48,33.83,61.46,78.39,22,13.29,55.78,78.65,36.73,47.15,58.56,55.26,19.38,17.79,30.69,63.71,42.55,4.7,10.42,27977.95,162120,NA,NA,NA,
1161,2008,T012,12,Hauraki District,506.93,2685,5505,50019,272434.25,249,135,5,18300,3800,4800,6450,3250,NA,721.5,230.3333333,NA,NA,1080,18,120,9,222,57,132,90,78,12,57,420,96,42,24,42,54,45,87,800,270,470,30,500,140,660,400,140,40,70,75,290,100,150,570,540,100,160,29811,1324,NA,NA,9.62,8.38,21.77,29.41,9.22,15.78,31.64,27.16,17.4,16.27,33.22,74.75,5.18,7.66,25.64,39.23,131.07,2.52,1.01,27625.18,1950,NA,NA,NA,
1162,2008,T013,13,Waikato District,1526.81,8520,14345,63319,281901.9167,690,420,5,61900,15200,19300,21100,6300,NA,2186.25,253.75,NA,NA,3360,36,318,27,888,189,237,150,204,24,258,1587,375,150,45,156,153,141,222,3500,580,1650,340,1450,250,750,800,660,50,85,200,440,500,390,1400,620,310,370,47887,7563,NA,NA,15.27,43.77,19.4,58.14,38.28,69.21,84,92.63,31.14,22.92,88.18,447.74,8.92,8.19,46.75,83.89,347.08,16.34,4.96,24705.47,19521,NA,NA,NA,
1163,2008,T015,15,Matamata-Piako District,1319.88,5433,13390,73242.61091,281661.5833,449,231,9,31700,7000,9400,10200,5100,NA,1198.5,245.6666667,NA,NA,2349,9,183,9,348,111,228,108,102,18,198,1092,156,72,33,72,93,108,144,2100,50,3750,40,1150,400,1350,520,580,100,200,140,590,210,280,740,580,260,350,33288,16615,NA,NA,33.83,43.05,46.63,59.6,15.72,37.3,86.03,300.42,41.05,21.46,90.32,33.59,7.6,21.33,34.94,90.66,348.22,5.63,2.5,41768.67,11481,NA,NA,NA,
1164,2008,T016,16,Hamilton City,6619.49,13347,80195,71051,339751.5833,622,530,34,138800,30000,56100,38500,14200,NA,12439.75,289.1666667,NA,NA,255,6,774,27,1668,723,1215,549,381,102,774,2718,1440,489,117,315,828,210,756,750,25,8800,500,5900,4150,8800,5100,2150,2000,1650,870,6800,5300,3950,7700,10900,1500,3350,164519,8781,NA,NA,378.23,124.04,337.51,411.71,208.92,470.43,549.66,689.1,544.18,615.75,577.02,290.04,92.39,205.14,365,535.84,27.99,167.55,28.99,47725.25,126594,NA,NA,NA,
1165,2008,T017,17,Waipa District,1419.22,6975,15720,66394,318122.4167,486,289,14,45300,10000,13500,15300,6500,NA,1875.5,279,NA,NA,2148,12,270,21,735,234,342,165,159,18,222,1428,405,135,27,108,162,168,216,2550,70,1900,110,1350,760,1800,1050,640,60,220,220,990,190,280,1600,910,470,550,46642,27808,NA,NA,53.23,60.6,63.27,70.47,18.36,64.11,91.69,127.34,59.62,33.28,96.25,82.82,16.74,23.39,71.29,97.93,379.68,5.99,3.16,31329.01,21260,NA,NA,NA,
1166,2008,T018,18,Otorohanga District,381.13,1929,3397,116998.3866,253343,166,64,0,9290,2130,3080,3050,1030,NA,198.5,230.0833333,NA,NA,1002,6,33,6,96,30,48,39,30,6,33,423,42,18,9,24,27,15,42,920,15,270,30,150,90,250,110,170,12,35,30,190,60,670,200,90,45,60,12484,163,NA,NA,6.63,11.45,8.8,11.66,40.88,9.72,22.31,35.55,6.28,2.82,23.42,15.24,1.94,4.79,10.31,12.86,154.76,1.55,0.16,41026.37,3911,NA,NA,NA,
1167,2008,T019,19,South Waikato District,876.04,2391,8410,71631,241412.1667,201,104,2,23000,5800,7000,7200,3000,NA,1288,166.5833333,NA,NA,852,0,111,9,159,39,165,90,81,6,90,381,72,42,18,63,57,36,120,1550,15,1700,15,500,100,840,450,300,50,85,85,160,180,230,990,550,100,510,23185,14655,NA,NA,7.69,21.29,29.42,38.28,13.71,9.49,56.99,192.66,26.04,25.41,59.83,105.73,7.64,9.16,40.05,41.36,183.51,5.87,1.91,38088.7,7162,NA,NA,NA,
1168,2008,T020,20,Waitomo District,453.48,1686,4705,44472.57423,253343.25,94,43,2,9580,2370,2950,3120,1140,NA,353,180.1666667,NA,NA,795,9,30,6,90,24,60,54,39,3,45,306,48,21,24,39,24,24,45,1000,70,910,110,300,95,360,330,150,40,45,35,130,40,110,390,270,240,80,20002,17691,NA,NA,7.75,10.4,10.67,14.79,7.31,7.8,26.15,55.53,28.51,12.51,27.52,86.43,3.98,5.39,17.18,24,104.2,0.86,2.5,47338.2,52611,NA,NA,NA,
1169,2008,T021,21,Taupo District,1394.26,4623,15200,62986.38009,241412.1667,341,205,19,33500,7200,10400,11100,4800,NA,2209.5,259.25,NA,NA,717,6,228,27,609,108,342,282,183,24,177,882,306,144,54,90,117,138,189,1600,150,1200,160,1300,290,2050,2450,660,180,200,360,600,350,860,1050,860,460,420,58115,51355,NA,NA,23.27,43.74,75.97,100.59,57.08,45.21,90.86,95.3,71.77,39.21,92.76,236.5,28.06,18.58,43.94,91.32,195.8,11.01,33.29,41620.03,232174,NA,NA,NA,
1170,2008,T022,22,Western Bay of Plenty District,1280.95,8496,13587,68724,253343.25,431,282,8,43800,9100,11200,16300,7200,NA,1682.75,261.25,NA,NA,3897,6,270,12,780,195,246,129,144,21,276,1521,348,156,24,78,135,81,177,4250,95,1700,12,860,340,880,610,320,15,100,180,480,1500,95,820,840,160,330,59473,1093,NA,NA,29.74,39.82,32.28,64.04,6.92,35.32,92.55,130.58,27.24,32.16,87.36,101.39,11.07,12.71,36.75,64.79,339.56,132.66,4.01,29046.67,6636,NA,NA,NA,
1171,2008,T023,23,Tauranga City,4577.2,13821,51243,56616,241412.1667,833,742,26,111700,23100,33800,35300,19500,NA,8598.75,302.5,NA,NA,516,6,771,30,2154,648,1161,462,504,69,873,2997,1278,450,72,225,687,207,711,1200,3,5900,220,4400,2550,7200,3750,2850,500,940,830,3500,2400,1850,3800,6600,850,1900,117188,81923,NA,NA,231.4,349.44,304.66,347.44,132.35,326.84,388.61,503.95,178.44,380.59,366.86,173.56,71.77,111.98,169.17,382.74,22.45,112.39,22.56,41124.97,148467,NA,NA,NA,
1172,2008,T024,24,Rotorua District,2853.8,7434,30785,63031,253343.25,275,161,8,68000,16600,22100,21400,7900,NA,4757.75,222.3333333,NA,NA,1197,6,381,24,756,258,519,414,270,45,279,1377,522,225,78,198,327,180,378,2150,45,3550,200,1950,1150,3350,3450,1050,270,500,520,1450,1000,1550,2950,3300,1350,1000,90820,2478,NA,NA,100.97,113.17,133.31,238.24,112.03,135.16,220.32,328.51,151.84,202.49,216.05,222.63,42.53,64.51,129.78,162.69,185,27.35,67.22,41967.99,556807,NA,NA,NA,
1173,2008,T025,25,Whakatane District,1189.14,4017,12645,65637,241412.1667,187,75,5,34300,8300,10300,11200,4500,NA,1552.25,252.5,NA,NA,1197,6,153,15,375,72,261,129,105,12,141,735,225,78,42,111,150,57,153,1600,15,1000,140,860,240,1800,750,420,170,240,180,410,490,550,1600,1600,160,420,40588,34954,NA,NA,16.04,48.31,66.28,44.88,47.69,30.28,90.75,116.28,29.31,84.81,85.67,154.55,12.66,20.98,70.43,67.97,150.8,46.21,5.24,34668.57,22517,NA,NA,NA,
1174,2008,T026,26,Kawerau District,465.75,372,3267,61463.78437,253343.25,7,6,0,7030,1860,2130,2080,960,NA,449,185.9166667,NA,NA,9,0,36,6,42,12,36,18,12,3,18,57,18,9,12,21,18,9,36,50,0,1600,18,320,40,200,70,55,6,45,40,35,9,110,290,140,9,230,7735,32,NA,NA,4.71,7.54,8.31,8.76,8.13,2.03,36.83,266.64,25.3,5.16,34.77,12.73,1.11,4.09,12.25,26.25,NA,0.57,0.57,66345.73,NA,NA,NA,NA,
1175,2008,T027,27,Opotiki District,254.56,1146,2882,50784.25823,241412,60,29,2,9100,2330,2480,2960,1330,NA,331.75,173.8333333,NA,NA,504,0,30,3,90,18,45,48,24,3,24,180,36,18,12,39,33,9,30,800,0,70,12,170,35,310,160,70,12,25,45,80,230,95,420,260,18,70,8595,1273,NA,NA,2.27,8.28,11.91,9.8,6.53,4.65,18.05,3.27,5.33,14.17,17.04,29.22,2.31,2.58,18.91,13.57,69.1,15.31,2.26,27939.63,7786,NA,NA,NA,
1176,2008,T028,28,Gisborne District,1331.01,5073,21215,65963.19477,268223.4167,221,149,4,46000,11600,14400,14400,5600,NA,2173.75,237.3333333,NA,NA,1587,6,162,15,474,120,306,171,156,18,174,852,222,102,66,168,180,81,213,5100,30,1650,75,1450,450,1950,1200,730,200,460,210,830,1050,840,1850,2250,300,590,64175,20309,NA,NA,25.96,66.9,75.89,70.89,55.92,61.91,96.85,121.82,59.91,94.86,100.85,95.86,18.97,22.96,92.86,104.84,133.8,20.97,8.99,28934.78,47226,NA,NA,NA,
